SPRINT,SPRINT_START_DATE,TARGETED_RELEASE_DATE,TRENDING_RELEASE_DATE,RELEASE_CONFIDENCE_PERCENTAGE,SPRINT_RELEASE_COMFORT_PERCENTAGE,PLANNED_SPRINT_VELOCITY,TOTAL_RELEASE_DEFECT_POINTS,TOTAL_RELEASE_PBI_POINTS,TOTAL_RELEASE_WORKORDER_POINTS
90,17-Sep-15,,,,,64,,,
91,01-Oct-15,,,,,87,,,
92,15-Oct-15,,,62,,96,,,
93,29-Oct-15,,,62,,88,,,
94,12-Nov-15,,,63,,90,,,
95,26-Nov-15,,,54,,78,,,
96,10-Dec-15,,,54,,68,,,
97,24-Dec-15,,,54,,19,,,
98,07-Jan-16,,,62,,82,,,
99,21-Jan-16,,,63,,100,,,
100,04-Feb-16,,,,,56,,,
101,18-Feb-16,22-Jun-16,22-Jun-16,78,,73,12,128,0
102,03-Mar-16,22-Jun-16,22-Jun-16,72,,76,112,126,0
103,16-Mar-16,22-Jun-16,27-Jun-16,74,,74,112,126,0
104,31-Mar-16,22-Jun-16,15-Jul-16,58,,83,132,212,0
105,14-Apr-16,22-Jun-16,10-Aug-16,41,,42,132,212,0
106,28-Apr-16,31-Aug-16,17-Aug-16,,33.33333333,48,138,266,0
107,12-May-16,31-Aug-16,17-Aug-16,82,47,55,160,324,0
108,26-May-16,31-Aug-16,12-Sep-16,,,70,197,359,0
109,09-Jun-16,31-Aug-16,02-Sep-16,72,,60,200,376,0
110,23-Jun-16,31-Aug-16,02-Sep-16,50,,70,218,388,0
111,07-Jul-16,31-Aug-16,07-Sep-16,,,71,220,402,0
112,21-Jul-16,31-Aug-16,,,,73,219,406,0
