Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,
ID,Work Item Type,Tags,Title,Effort,State,Iteration Path,Area Path,Severity,Created Date
38575,Product Backlog Item,,(3.0.0) TESTING (BETA - RC1),0,Done,\3.0.0\3.0 Beta,\Solution Manager\Testing,,15/12/2015 2:26 PM
38555,Product Backlog Item,Capitalize,"* [AUTOMATION] Write tests for Namespace Editor, priority = 1",8,Done,\3.0.0\3.0 Beta\Sprint 96,\Solution Manager,,15/12/2015 8:16 AM
38551,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Regression - Version History,3,Done,\3.0.0\3.0 Beta\Sprint 99,\Solution Manager\Testing,,15/12/2015 7:45 AM
38550,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Regression - Mark as production,1,Done,\3.0.0\3.0 Beta\Sprint 99,\Solution Manager\Testing,,15/12/2015 7:45 AM
38549,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: BETA RC1: Regression - Conflict Resolve,8,Done,\3.0.0\3.0 Beta\Sprint 99,\Solution Manager\Testing,,15/12/2015 7:45 AM
17896,Product Backlog Item,Analyzed; Capitalize; SCRUM OF SCRUM,~(3.0.0) SOLUTION MANAGER: Plugin VD Integration - Ability to convert a Visual Design Component to a Stylesheet Component,20,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,,27/11/2014 11:38 AM
38548,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Regression - Lock/Unlock,5,Done,\3.0.0\3.0 Beta\Sprint 99,\Solution Manager\Testing,,15/12/2015 7:44 AM
38547,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Regression - Main form,3,Done,\3.0.0\3.0 Beta\Sprint 97,\Solution Manager,,15/12/2015 7:43 AM
38545,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Regression - Check-in/Check-out,8,Done,\3.0.0\3.0 Beta\Sprint 99,\Solution Manager\Testing,,15/12/2015 7:42 AM
38544,Product Backlog Item,BLOCKED,~(3.0.0) SOLUTION MANAGER: Regression - Import tool,5,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager,,15/12/2015 7:41 AM
38543,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Regression - XML Editor,1,Done,\3.0.0\3.0 Beta\Sprint 97,\Solution Manager,,15/12/2015 7:40 AM
23772,Product Backlog Item,Analyzed; Capitalize,(3.0.0) SOLUTION MANAGER\TREEVIEW DISPLAY\WORKFLOWS: New workflow creation 'from existing',3,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,24/03/2015 12:14 PM
24729,Product Backlog Item,Analyzed; Capitalize,(3.0.0) SOLUTION MANAGER: XML Editor integration,5,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,10/04/2015 8:48 AM
27263,Product Backlog Item,Analyzed; Capitalize,"(3.0.0) SOLUTION MANAGER: Component Editor: If component checked in while open in editor, close editor tab/windows",3,Done,\3.0.0\3.0 TPR\Sprint 94  (3.0.0 TPR As Deliverable),\Solution Manager,,25/05/2015 2:09 PM
38542,Product Backlog Item,,~(3.0.0) SOLUTION MANAGER: Regression - Document preview,3,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager,,15/12/2015 7:39 AM
