SPRINT,TARGETED_RELEASE_DATE,TRENDING_RELEASE_DATE,RELEASE_CONFIDENCE_PERCENTAGE,SPRINT_RELEASE_COMFORT_PERCENTAGE,PLANNED_SPRINT_VELOCITY,TOTAL_RELEASE_DEFECT_POINTS,TOTAL_RELEASE_PBI_POINTS,TOTAL_RELEASE_WORKORDER_POINTS
90,,,,,65,,,
91,,,,,63,,,
92,,,62,,65,,,
93,,,62,,61,,,
94,,,63,,60,,,
95,,,54,,63,,,
96,,,54,,60,,,
97,,,54,,10,,,
98,,,62,,55,,,
99,,,63,,70,,,
100,,,,,31,81,328,
101,22-Jun-16,22-Jun-16,78,,86,81,331,
102,22-Jun-16,22-Jun-16,72,,83,84,319,
103,22-Jun-16,27-Jun-16,74,,61,91,311,
104,22-Jun-16,15-Jul-16,58,,74,68,239,
105,22-Jun-16,10-Aug-16,41,,69,76,355,
106,31-Aug-16,17-Aug-16,,33.33333333,52,80,340,8
107,31-Aug-16,17-Aug-16,82,47,50,86,329,8
108,31-Aug-16,12-Sep-16,,,50,91,330,8
109,31-Aug-16,02-Sep-16,72,,55,124,310,8
110,31-Aug-16,02-Sep-16,50,,55,124,324,8
111,31-Aug-16,07-Sep-16,,,40,133,328,8
112,31-Aug-16,,,,51,,,
