SPRINT,SPRINT_INDEX,TARGETED_RELEASE_DATE,TRENDING_RELEASE_DATE,RELEASE_CONFIDENCE_PERCENTAGE,SPRINT_RELEASE_COMFORT_PERCENTAGE,PLANNED_SPRINT_VELOCITY,TOTAL_RELEASE_DEFECT_POINTS,TOTAL_RELEASE_PBI_POINTS,TOTAL_RELEASE_WORKORDER_POINTS
101,1,22-Jun-16,22-Jun-16,78,,86,81,331,
102,2,22-Jun-16,22-Jun-16,72,,83,84,319,
103,3,22-Jun-16,27-Jun-16,74,,61,91,311,
104,4,22-Jun-16,15-Jul-16,58,,74,68,239,
105,5,22-Jun-16,10-Aug-16,41,,69,76,355,
106,6,31-Aug-16,17-Aug-16,,33.33333333,52,80,340,8
107,7,31-Aug-16,17-Aug-16,82,47,50,86,329,8
108,8,31-Aug-16,12-Sep-16,,,50,91,330,8
109,9,31-Aug-16,02-Sep-16,72,,55,122,310,8
110,10,31-Aug-16,02-Sep-16,50,,55,124,305,8
111,11,31-Aug-16,07-Sep-16,,,40,126,328,3
112,12,31-Aug-16,,,,51,136,339,18
