Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,,,,
ID,Backlog Priority,Release Version,Work Item Type,Title,Effort,State,Tags,Iteration Path,Area Path,Severity,Created Date,Closed Date
15844,1,3.0.0,Product Backlog Item,DEV: Add EDG matrices to TFS,0.5,Done,,\3.0.0\3.0 Alpha\Sprint 67,\Activities\Dev,,23/10/2014 11:26 PM,27/10/2014 4:10 PM
15843,2,2.6,Product Backlog Item,DEV: Fix up Sprint 64 PDF Output - Security - Password - Misc test case,1,Done,,\3.0.0\3.0 Alpha\Sprint 67,\Activities\Dev,,23/10/2014 11:17 PM,04/11/2014 2:47 PM
16568,4,2.6,Bug,DEFECT: Server 2.6.1 32 bit .exe is not true 32bit,0,Done,,\3.0.0\3.0 Alpha\Sprint 68,\Defects,1 - Critical,05/11/2014 11:53 AM,06/11/2014 9:43 AM
14428,7,2.6,Product Backlog Item,~DEFECT/OTHER: Hotfix - Worksite Plugin 2.1.1: Release,0.5,Done,,\3.0.0\3.0 Alpha\Sprint 67,\Defects,,09/10/2014 9:32 AM,27/10/2014 10:59 AM
14427,7,2.6,Product Backlog Item,~DEFECT/OTHER: Hotfix - Image Connect Plugin 1.2.1: Release,0.5,Done,,\3.0.0\3.0 Alpha\Sprint 67,\Defects,,09/10/2014 9:30 AM,27/10/2014 10:56 AM
14426,7,2.6,Product Backlog Item,~DEFECT/OTHER: Hotfix - Worksite Plugin 2.1.1: Testing,2,Done,,\3.0.0\3.0 Alpha\Sprint 67,\Defects,,09/10/2014 9:23 AM,24/10/2014 4:55 PM
14425,7,2.6,Product Backlog Item,~DEFECT/OTHER: Hotfix - Image Connect Plugin 1.2.1: Testing,1,Done,,\3.0.0\3.0 Alpha\Sprint 67,\Defects,,09/10/2014 9:21 AM,24/10/2014 4:55 PM
16518,12,3.0.0,Product Backlog Item,DEV: OTHER - Complete Self Assessment by Nov. 14,3,Done,,\3.0.0\3.0 Alpha\Sprint 68,\Activities\Dev,,05/11/2014 9:58 AM,13/11/2014 2:14 PM
30558,22,3.0.0,Product Backlog Item,* (3.0.0)EDG.Activities.Email.Design: UI doesn't support comma delimited list,2,Done,,\3.0.0\3.0 TPR\Sprint 86,\Activities,,29/07/2015 4:10 PM,11/08/2015 11:14 AM
16140,23,3.0.0,Product Backlog Item,DEV: 8th Light Call - Nov. 7,5,Done,,\3.0.0\3.0 Alpha\Sprint 68,\Activities\Dev,,28/10/2014 4:08 PM,12/11/2014 12:47 PM
32817,25,3.0.0,Bug,4 - (3.0.0) EDG.Activities.SaveToDisk The process cannot access the file 'X' because it is being used by another process.,3,Done,,\3.0.0\3.0 TPR\Sprint 90,\Activities,2 - High,18/09/2015 6:17 AM,22/09/2015 10:21 AM
30484,32,3.0.0,Bug,*VERIFY: (3.0.0) SOLUTION MANAGER: Using properties dialog to rename workflow gives error,0.5,Done,,\3.0.0\3.0 TPR\Sprint 86,\Defects,2 - High,29/07/2015 7:47 AM,31/07/2015 9:10 AM
30464,38,3.0.0,Bug,*VERIFY: (3.0.0) SOLUTION MANAGER:CONFLICT INDICATOR:Error when resolving WF name conflict if trailing space used in item name,0.5,Done,,\3.0.0\3.0 TPR\Sprint 86,\Defects,2 - High,28/07/2015 3:41 PM,05/08/2015 7:34 AM
30403,44,3.0.0,Product Backlog Item,* (3.0.0)EDG.Activities.EvaluateXpath: Provide support for extracting attribute located in default namespace,3,Done,Analysed; Capitalize,\3.0.0\3.0 TPR\Sprint 86,\Activities,,28/07/2015 9:12 AM,04/08/2015 11:26 AM
